,StudentID,Timestamp,state,prop,leaning,topUrl,isRelevant,isAd,non_us_loc,issues
53,53,2020-11-02 15:50:16,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,No
53,53,2020-11-02 15:50:16,CA,22,1,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBIM623cIIG6Avzod775Kg4Qi5Dk52CfL6tBjrxy69HLAN6XPnA9TQxoC5-UQAvD_BwE,TRUE,TRUE,,No
54,54,2020-11-02 16:05:42,CA,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,,
54,54,2020-11-02 16:05:42,CA,24,0,"https://ballotpedia.org/California_Proposition_24,_Consumer_Personal_Information_Law_and_Agency_Initiative_(2020)",TRUE,FALSE,,
55,55,2020-11-02 16:37:03,CA,22,1,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBGvZxaeBGtpx7_VNfc7nJQp2iaYkO1Gbo-KUGCZlvsTnH495xdRTERoCH_cQAvD_BwE,TRUE,TRUE,,
55,55,2020-11-02 16:37:03,CA,24,,https://progressivevotersguide.com/california/2020/general/city/berkeley/?src=G,FALSE,TRUE,,
56,56,2020-11-02 16:50:05,FL,24,1,https://www.google.com/aclk?sa=l&ai=DChcSEwj8jZbYk-XsAhV5H60GHWEOApcYABAAGgJwdg&ae=2&sig=AOD64_28YpOUy9Dv9e3d8sfzTr8MyqReMA&q&adurl&ved=2ahUKEwiC3Y7Yk-XsAhUSLX0KHV1xBhcQ0Qx6BAgbEAE,TRUE,TRUE,,
56,56,2020-11-02 16:50:05,FL,22,1,https://www.google.com/aclk?sa=l&ai=DChcSEwijoLmxk-XsAhWXFq0GHVeZDFsYABAAGgJwdg&ae=2&sig=AOD64_3tVxOwo0nyn-HG8Yv9WjJf1yabuQ&q&adurl&ved=2ahUKEwiG07Gxk-XsAhWnFTQIHQaiCtUQ0Qx6BAgbEAE,TRUE,TRUE,,
57,57,2020-11-02 16:58:57,CA,24,1,caprivacy.org,TRUE,TRUE,,
57,57,2020-11-02 16:58:57,CA,22,1,yeson22.com,TRUE,TRUE,,
58,58,2020-11-02 17:21:15,CA,22,1,,TRUE,TRUE,,
58,58,2020-11-02 17:21:15,CA,24,1,,TRUE,TRUE,,
59,59,2020-11-02 18:09:55,CA,22,1,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBFiaBWVB8EwC_nRdieLon8vfOMcV7GxEXcyPftIYpWBibJ_RCzgkyhoCYUYQAvD_BwE,TRUE,TRUE,,
59,59,2020-11-02 18:09:55,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
60,60,2020-11-02 18:13:07,,24,-1,https://www.nytimes.com/2020/10/28/opinion/california-prop-24-privacy.html,TRUE,FALSE,Taiwan,
60,60,2020-11-02 18:13:07,,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,Taiwan,
61,61,2020-11-02 18:25:28,CA,22,1,,TRUE,TRUE,,
